"Id_day"	"Id_hour"	"vect_b"	"Name"
7	1	4400	"FB01"
7	1	1466	"FB02"
7	1	2634	"FB03"
7	1	3088	"FB04"
7	1	3098	"FB05"
7	1	1378	"FB06"
7	1	4500	"FB07"
7	1	5301	"FB08"
7	1	1623	"FB09"
7	1	2409	"FB10"
7	1	4181	"FB11"
7	1	3827	"FB12"
7	1	2341	"FB13"
7	1	3582	"FB14"
7	1	1735	"FB15"
7	1	1618	"FB16"
7	1	6602	"FB17"
7	1	4899	"FB18"
7	1	1283	"FB19"
7	1	4353	"FB20"
7	1	3618	"FB21"
7	1	1499	"FB22"
7	1	1458	"FB23"
7	1	3563	"FB24"
7	1	3767	"FB25"
7	1	2428	"FB26"
7	1	6336	"FB27"
7	1	3509	"FB28"
7	1	3500	"FB29"
7	1	3619	"FB30"
7	1	1564	"FB31"
7	1	3737	"FB32"
7	1	1341	"FB33"
7	1	3147	"FB34"
7	1	3087	"FB35"
7	1	3500	"FB36"
7	2	4400	"FB01"
7	2	1412	"FB02"
7	2	2740	"FB03"
7	2	3046	"FB04"
7	2	3232	"FB05"
7	2	1360	"FB06"
7	2	4500	"FB07"
7	2	5301	"FB08"
7	2	1610	"FB09"
7	2	2381	"FB10"
7	2	4287	"FB11"
7	2	3739	"FB12"
7	2	2620	"FB13"
7	2	3613	"FB14"
7	2	1746	"FB15"
7	2	1738	"FB16"
7	2	6708	"FB17"
7	2	5284	"FB18"
7	2	1299	"FB19"
7	2	4338	"FB20"
7	2	3929	"FB21"
7	2	1617	"FB22"
7	2	1423	"FB23"
7	2	3510	"FB24"
7	2	3705	"FB25"
7	2	2291	"FB26"
7	2	6411	"FB27"
7	2	3608	"FB28"
7	2	3616	"FB29"
7	2	3542	"FB30"
7	2	1800	"FB31"
7	2	3895	"FB32"
7	2	1328	"FB33"
7	2	3075	"FB34"
7	2	3143	"FB35"
7	2	3511	"FB36"
7	3	4400	"FB01"
7	3	1412	"FB02"
7	3	2670	"FB03"
7	3	3027	"FB04"
7	3	3085	"FB05"
7	3	1372	"FB06"
7	3	4500	"FB07"
7	3	5301	"FB08"
7	3	1634	"FB09"
7	3	2383	"FB10"
7	3	4207	"FB11"
7	3	3679	"FB12"
7	3	2702	"FB13"
7	3	3701	"FB14"
7	3	1805	"FB15"
7	3	1702	"FB16"
7	3	6756	"FB17"
7	3	5375	"FB18"
7	3	1298	"FB19"
7	3	4290	"FB20"
7	3	3986	"FB21"
7	3	1683	"FB22"
7	3	1473	"FB23"
7	3	3471	"FB24"
7	3	3655	"FB25"
7	3	2232	"FB26"
7	3	6446	"FB27"
7	3	3715	"FB28"
7	3	3581	"FB29"
7	3	3471	"FB30"
7	3	1911	"FB31"
7	3	3872	"FB32"
