Id_day;Id_hour;alpha;BE;DE;FR;vect_b;Name
1;1;0.63;0.33;0.67;0.66;2981;FB01
1;1;0.63;-1;0;0;4500;FB02
1;1;0.63;-0.11;-0.9;-0.38;3543;FB03
1;1;0.63;-0.89;-0.13;-0.43;2255;FB04
1;1;0.63;-0.16;-0.72;-0.67;2521;FB05
1;1;0.63;-0.6;0.4;0.68;5827;FB06
1;1;0.63;-0.66;-0.49;-0.56;1879;FB07
1;1;0.63;-0.35;0.36;0.86;5381;FB08
1;1;0.63;-0.3;0.09;-0.94;3785;FB09
1;1;0.63;0.59;0.56;0.58;2434;FB10
1;1;0.63;-0.02;-0.37;-0.92;1308;FB11
1;1;0.63;0;-1;0;4380;FB12
1;1;0.63;0;0;-1;3440;FB13
1;1;0.63;0.9;0.36;0.21;4037;FB14
1;1;0.63;-0.29;-0.39;-0.87;1366;FB15
1;1;0.63;0.02;0.84;0.55;3179;FB16
1;1;0.63;0;1;0;5500;FB17
1;1;0.63;-0.06;0.86;0.5;3147;FB18
1;1;0.63;0.61;-0.51;0.58;5882;FB19
1;1;0.63;-0.52;-0.63;-0.57;1641;FB20
1;1;0.63;-0.82;0.28;0.48;10000;FB21
1;1;0.63;0;0;1;4009;FB22
1;1;0.63;0.91;0.13;0.38;3767;FB23
1;1;0.63;0.29;0.8;0.52;2558;FB24
1;1;0.63;0.34;-0.34;-0.87;2745;FB25
1;1;0.63;-0.65;0.01;-0.75;2758;FB26
1;1;0.63;0.11;0.91;0.4;3609;FB27
1;1;0.63;-0.79;-0.32;-0.52;2087;FB28
1;1;0.63;0.55;-0.17;0.81;5184;FB29
1;1;0.63;0.81;-0.29;-0.5;3910;FB30
1;1;0.63;0.47;0.69;0.55;2577;FB31
1;1;0.63;0.62;-0.32;-0.71;3563;FB32
1;1;0.63;0.93;-0.12;-0.26;4207;FB33
1;1;0.63;0.76;0.33;0.56;2538;FB34
1;1;0.63;-0.59;-0.31;-0.74;1226;FB35
1;1;0.63;-0.67;0.28;-0.67;3973;FB36
1;2;0.71;0.33;0.67;0.66;3063;FB01
1;2;0.71;-1;0;0;4500;FB02
1;2;0.71;-0.11;-0.9;-0.38;3512;FB03
1;2;0.71;-0.89;-0.13;-0.43;2364;FB04
1;2;0.71;-0.16;-0.72;-0.67;2489;FB05
1;2;0.71;-0.6;0.4;0.68;5781;FB06
1;2;0.71;-0.66;-0.49;-0.56;1673;FB07
1;2;0.71;-0.35;0.36;0.86;5341;FB08
1;2;0.71;-0.3;0.09;-0.94;4035;FB09
1;2;0.71;0.59;0.56;0.58;2412;FB10
1;2;0.71;-0.02;-0.37;-0.92;1749;FB11
1;2;0.71;0;-1;0;4389;FB12
1;2;0.71;0;0;-1;3882;FB13
1;2;0.71;0.9;0.36;0.21;4120;FB14
1;2;0.71;-0.29;-0.39;-0.87;1242;FB15
1;2;0.71;0.02;0.84;0.55;3140;FB16
1;2;0.71;0;1;0;5671;FB17
1;2;0.71;-0.06;0.86;0.5;3048;FB18
1;2;0.71;0.61;-0.51;0.58;5726;FB19
1;2;0.71;-0.52;-0.63;-0.57;1334;FB20
1;2;0.71;-0.82;0.28;0.48;10000;FB21
