Name;BE.FR;DE.FR;DE.NL;BE.NL;BE.DE
FB01;-0,33;0,01;0,67;0,33;-0,34
FB02;-1;0;0;-1;-1
FB03;0,27;-0,52;-0,9;-0,11;0,79
FB04;-0,46;0,3;-0,13;-0,89;-0,76
FB05;0,51;-0,05;-0,72;-0,16;0,56
FB06;-1,28;-0,28;0,4;-0,6;-1
FB07;-0,1;0,07;-0,49;-0,66;-0,17
FB08;-1,21;-0,5;0,36;-0,35;-0,71
FB09;0,64;1,03;0,09;-0,3;-0,39
FB10;0,01;-0,02;0,56;0,59;0,03
FB11;0,9;0,55;-0,37;-0,02;0,35
FB12;0;-1;-1;0;1
FB13;1;1;0;0;0
FB14;0,69;0,15;0,36;0,9;0,54
FB15;0,58;0,48;-0,39;-0,29;0,1
FB16;-0,53;0,29;0,84;0,02;-0,82
FB17;0;1;1;0;-1
FB18;-0,56;0,36;0,86;-0,06;-0,92
FB19;0,03;-1,09;-0,51;0,61;1,12
FB20;0,05;-0,06;-0,63;-0,52;0,11
FB21;-1,3;-0,2;0,28;-0,82;-1,1
FB22;-1;-1;0;0;0
FB23;0,53;-0,25;0,13;0,91;0,78
FB24;-0,23;0,28;0,8;0,29;-0,51
FB25;1,21;0,53;-0,34;0,34;0,68
FB26;0,1;0,76;0,01;-0,65;-0,66
FB27;-0,29;0,51;0,91;0,11;-0,8
FB28;-0,27;0,2;-0,32;-0,79;-0,47
FB29;-0,26;-0,98;-0,17;0,55;0,72
FB30;1,31;0,21;-0,29;0,81;1,1
FB31;-0,08;0,14;0,69;0,47;-0,22
FB32;1,33;0,39;-0,32;0,62;0,94
FB33;1,19;0,14;-0,12;0,93;1,05
FB34;0,2;-0,23;0,33;0,76;0,43
FB35;0,15;0,43;-0,31;-0,59;-0,28
FB36;0;0,95;0,28;-0,67;-0,95
