"Date" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34"
2018-01-01 6 7 7 5 6 6 5 7 5 6 5 7 7 5 7 6 5 5 7 5 7 7 7 7 7 6 7 7 7 7 7 7 7 7
2018-01-02 5 6 5 6 7 5 7 6 6 7 7 6 5 7 5 7 5 7 7 7 7 6 6 7 6 7 6 5 5 6 6 5 5 7
2018-01-03 7 7 7 7 7 6 5 6 6 7 7 6 6 6 6 6 5 5 7 7 5 7 6 7 5 7 7 6 7 5 5 7 7 7
2018-01-04 7 7 7 6 6 5 7 7 5 7 7 7 7 6 5 7 5 5 7 5 5 7 7 7 7 7 7 7 5 6 5 7 5 7
2018-01-05 5 7 7 6 6 7 7 6 6 5 6 7 7 7 6 6 5 7 7 7 7 7 7 7 6 5 7 6 5 7 5 6 6 6
2018-01-06 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-01-07 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-01-08 6 7 7 7 6 7 7 6 7 7 7 7 6 7 6 6 5 5 6 5 6 5 7 7 6 7 7 5 6 7 6 5 7 7
2018-01-09 7 7 6 7 7 5 7 6 7 7 7 7 6 5 6 6 7 6 7 6 7 7 5 5 7 7 7 7 7 6 6 6 7 7
2018-01-10 6 7 5 7 6 6 7 6 6 6 6 5 7 7 5 5 6 6 6 7 7 7 7 5 7 7 7 7 7 5 6 7 7 7
2018-01-11 6 7 7 6 7 6 6 6 7 5 5 5 5 7 5 5 5 6 5 7 6 5 5 6 7 7 7 6 6 7 7 6 7 7
2018-01-12 7 5 7 6 7 7 6 7 6 7 6 5 6 7 7 6 6 6 6 6 7 6 7 7 6 7 7 7 7 6 7 5 6 7
2018-01-13 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-01-14 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-01-15 7 7 7 7 7 7 7 7 7 6 6 7 7 7 7 7 5 7 7 7 7 7 7 6 7 7 7 6 6 5 7 7 7 7
2018-01-16 5 7 7 6 5 6 7 7 7 7 7 7 6 6 7 5 7 7 7 6 6 7 7 6 6 6 7 6 6 7 6 7 6 7
2018-01-17 7 5 7 6 7 6 7 6 7 6 7 5 6 7 7 6 7 6 7 6 6 7 7 7 7 7 7 7 6 6 7 5 6 5
2018-01-18 6 7 7 6 7 7 7 6 7 6 7 7 7 7 5 6 7 7 7 6 7 6 7 7 6 7 7 7 7 6 7 6 6 6
2018-01-19 7 7 6 6 7 6 5 6 7 6 7 7 7 7 6 7 7 7 6 7 7 5 7 7 6 7 7 7 5 5 7 6 7 7
2018-01-20 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-01-21 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-01-22 6 7 6 7 7 7 6 7 6 7 6 7 7 6 7 7 5 7 6 5 7 7 7 5 6 6 6 6 6 6 7 7 7 6
2018-01-23 7 7 7 7 5 7 7 6 7 7 6 7 7 5 7 7 6 6 7 7 7 6 6 6 7 6 7 7 7 6 7 6 7 6
2018-01-24 6 7 7 7 7 7 7 6 7 5 7 5 7 7 7 6 6 6 7 7 7 6 6 7 7 6 5 7 7 6 6 6 6 7
2018-01-25 7 7 7 7 7 7 6 7 6 5 7 5 7 6 7 6 6 7 5 6 7 6 7 7 6 7 7 7 7 7 5 7 6 6
2018-01-26 7 5 7 5 6 7 7 7 7 6 6 7 6 5 7 6 5 7 7 7 7 7 6 6 6 7 7 5 6 6 7 7 5 5
2018-01-27 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-01-28 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-01-29 7 7 6 7 7 6 5 6 7 7 7 5 7 6 7 7 7 6 7 5 7 7 7 6 7 7 6 5 7 6 6 7 5 7
2018-01-30 7 5 7 7 7 6 7 7 7 5 7 6 7 7 7 7 6 7 7 6 7 7 7 6 5 6 5 6 6 7 7 5 7 6
2018-01-31 5 7 6 7 7 6 6 6 5 6 5 7 7 7 6 6 7 7 7 7 7 6 7 7 7 7 7 6 7 6 7 5 6 7
2018-02-01 6 5 6 7 7 7 7 5 5 7 7 6 7 7 7 6 6 6 7 7 7 7 7 7 7 6 7 7 7 5 7 7 7 7
2018-02-02 6 7 7 5 7 6 7 7 5 7 6 6 7 6 5 6 6 6 7 5 7 7 6 6 5 7 7 7 7 6 6 6 7 6
2018-02-03 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-02-04 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-02-05 6 7 7 7 5 6 5 7 5 7 7 7 6 7 7 7 7 7 7 5 7 7 6 6 5 7 7 6 6 7 6 5 7 6
2018-02-06 5 5 5 5 5 7 7 7 5 7 6 6 5 5 7 6 5 7 6 5 7 7 7 5 6 7 7 7 6 7 6 7 7 7
2018-02-07 5 7 5 7 6 7 7 7 7 7 7 6 6 5 7 7 7 5 7 7 7 6 7 6 7 6 7 5 7 7 7 6 7 5
2018-02-08 6 6 5 7 6 6 7 6 5 7 6 5 7 6 6 6 6 7 7 7 5 7 7 5 7 7 6 7 5 7 6 5 7 7
2018-02-09 6 6 6 6 6 7 7 6 5 7 7 7 7 6 6 6 7 6 7 6 7 6 7 6 7 6 6 5 6 6 6 7 7 7
2018-02-10 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-02-11 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
