Id_day;Period;BE;DE;FR;NL;RAM_0
1;1;0;-1;0;0;4400
1;1;0.07063;-0.00219;0.04193;0.23919;626.8274
1;1;-0.15197;0.01758;-0.07303;-0.23437;814.0265
1;1;-0.00894;-0.07503;-0.21633;0;333.7419
1;1;0.15018;-0.0127;0.08799;-0.15584;1043.6478
1;1;-0.13532;-0.05603;-0.16555;0;296.8719
1;1;0;0;0;-1;4250
1;1;-0.24689;0.01571;-0.10559;0.04526;744.0215
1;1;0.11797;-0.01079;0.07538;-0.14719;942.828
1;1;-0.00756;-0.07529;-0.21658;0;333.6717
1;1;0;0;1;0;4001
1;1;0.13498;-0.00961;0.06619;-0.14149;944.6076
1;1;-0.12108;-0.08205;-0.16205;0;296.8465
1;1;-0.06052;-0.06996;-0.20569;0;334.1108
1;1;0.12253;-0.01007;0.06997;-0.14325;910.9586
1;1;-1;0;0;0;4500
1;1;0.17247;-0.01418;0.09824;-0.15798;1118.826
1;1;-0.24628;0.01365;-0.08769;-0.2251;887.4625
1;1;0.0831;0.0034;-0.01624;0.03199;270.2807
1;1;0.005;-0.06412;-0.14224;0;228.6876
1;1;0;-0.06022;-0.14729;0;228.7406
1;1;0;-0.08533;-0.1893;0;296.9609
1;1;-0.06432;0.00182;-0.01136;0.04585;329.1119
1;2;0.12239;-0.01013;0.07015;-0.14329;839.9532
1;2;-0.24666;0.01581;-0.10606;0.04536;789.0215
1;2;0;0;1;0;4001
1;2;-0.11766;-0.07009;-0.19246;0;334.0757
1;2;-0.01848;-0.091;-0.21002;0;334.43
1;2;-0.03286;-0.07841;-0.20997;0;333.8293
1;2;0.17226;-0.01427;0.09851;-0.15805;1030.8206
1;2;-0.0643;0.00183;-0.01145;0.04584;339.1173
1;2;0.08313;0.00341;-0.01634;0.03199;264.2834
1;2;-0.15182;0.01764;-0.07327;-0.2334;845.7808
1;2;0.11781;-0.01086;0.07556;-0.14724;864.8226
1;2;-0.10682;0.00832;-0.05771;-0.10743;477.2525
1;2;0.15;-0.01278;0.08824;-0.15589;961.6397
1;2;-0.10885;-0.08866;-0.18965;0;334.0618
1;2;0.13485;-0.00967;0.0664;-0.14153;879.6022
1;2;-1;0;0;0;4500
1;2;-0.06001;-0.07527;-0.20449;0;333.6771
1;2;0;0;0;-1;4250
1;2;0.07056;-0.00222;0.04201;0.24041;530.4899
1;2;0;-1;0;0;4400
1;2;-0.24606;0.01375;-0.08817;-0.22449;857.3248
1;2;-0.03218;-0.07856;-0.21009;0;333.7888
1;3;0.01764;0.13278;0.06663;0.01619;519.4793
1;3;-0.05974;-0.07842;-0.20397;0;334.8266
1;3;-0.03813;-0.0867;-0.20682;0;334.591
1;3;0;-1;0;0;4400
1;3;0.00777;0.26759;0.16533;0.03009;949.125
1;3;-0.09097;-0.07555;-0.19747;0;334.6015
1;3;-0.12107;-0.25359;-0.17312;-0.38681;779.9694
1;3;0.09154;0.15767;0.14436;0.20172;352.1065
1;3;-0.00598;-0.07877;-0.03446;0.16405;531.4386
1;3;0;0;0;-1;4250
1;3;-0.08754;-0.08582;-0.19558;0;334.8286
1;3;-0.02323;0.23925;0.11707;0.26859;850.0782
1;3;-0.10105;-0.26382;-0.16256;-0.40698;891.6532
1;3;-0.0029;-0.06803;-0.05798;0.00801;282.4692
