Id;Date;Season;Type;Climate;Num_date
1;19/07/2016;Summer;Weekday;climate1;20160719
2;22/09/2016;Summer;Weekday;climate2;20160922
3;22/06/2016;Summer;Weekday;climate3;20160622
4;13/08/2016;Summer;Weekend;climate4;20160813
5;03/02/2016;Winter;Weekday;climate5;20160203
6;08/02/2016;Winter;Weekday;climate6;20160208
7;10/12/2015;Winter;Weekday;climate7;20151210
8;06/02/2016;Winter;Weekend;climate8;20160206
9;22/03/2016;Interseason;Weekday;climate9;20160322
10;05/10/2016;Interseason;Weekday;climate10;20161005
11;13/10/2016;Interseason;Weekday;climate11;20161013
12;09/04/2016;Interseason;Weekend;climate12;20160409
