"Period" "BE" "DE" "FR" "NL" "RAM_0" "Row" "Num_date"
1 -0.00418 -0.03849 -0.04242 0.02044 124.79844 11 20151210
1 -0.10568 -0.04528 -0.07052 0 219.18656 22 20151210
1 -0.00316 -0.01999 -0.01239 0.06976 188.70924 185 20151210
1 -0.00449 -0.04946 -0.04787 0.01961 140.1406 186 20151210
1 -1 0 0 0 4500 216 20151210
1 0.02035 -0.1451 0.07554 -0.10399 822.04612 240 20151210
1 -0.10647 -0.04756 -0.07462 0 218.60244 244 20151210
1 -0.00535 -0.03257 -0.04687 0.02974 148.61128 265 20151210
1 0.04408 -0.04969 -0.06754 -0.02144 300.37356 280 20151210
1 -0.00438 -0.06617 -0.05381 0.01363 168.02492 295 20151210
1 -0.10599 -0.04666 -0.0724 0 218.87628 318 20151210
1 0.00634 0.07414 0.03303 -0.12238 461.16136 355 20151210
1 -0.10604 -0.04422 -0.07121 0 219.27168 372 20151210
1 -0.00942 -0.03159 -0.06116 0.04909 211.76572 390 20151210
1 0.12059 -0.1758 -0.09468 -0.21495 1281.63452 400 20151210
1 -0.00318 0.04717 -0.01148 0.04747 99.6078 540 20151210
1 0 0 1 0 5301 613 20151210
1 -0.10715 -0.04629 -0.07636 0 218.6376 621 20151210
1 -0.04408 0.04969 0.06754 0.02144 562.62644 636 20151210
1 0 -1 0 0 4400 650 20151210
1 -0.00325 0.05012 -0.01172 0.0486 105.8318 678 20151210
1 -0.10548 -0.04407 -0.06913 0 219.43996 685 20151210
2 -0.04408 0.04969 0.06742 0.02164 569.60244 12 20151210
2 -0.00318 0.04717 -0.01145 0.04811 100.58068 26 20151210
2 0.00634 0.07414 0.03308 -0.12332 493.21248 44 20151210
2 0.01208 0.22435 0.14069 -0.00372 1083.4186 80 20151210
2 0.01239 0.07227 0.04604 0.11615 248.04552 141 20151210
2 0.04375 -0.05222 -0.05067 -0.03648 343.92364 152 20151210
2 -0.00418 -0.03849 -0.04247 0.02057 124.7862 184 20151210
2 -0.00316 -0.01999 -0.01239 0.07023 189.68668 198 20151210
2 0 0 1 0 5301 247 20151210
2 0.02035 -0.1451 0.07477 -0.10495 890.9998 307 20151210
2 0 -1 0 0 4400 335 20151210
2 0.07756 -0.22623 -0.09943 -0.29043 1544.04572 369 20151210
2 -0.00449 -0.04946 -0.04794 0.01972 140.12692 371 20151210
2 0.08093 -0.19352 -0.07688 -0.27181 1475.54932 426 20151210
2 -0.00438 -0.06617 -0.05391 0.01364 168.01244 438 20151210
2 0.04408 -0.04969 -0.06742 -0.02164 293.39756 489 20151210
2 -0.00325 0.05012 -0.0117 0.04925 104.803 554 20151210
2 -0.00942 -0.03159 -0.06102 0.0495 211.76284 582 20151210
2 -1 0 0 0 4500 615 20151210
2 0.12059 -0.1758 -0.09482 -0.21666 1333.6998 657 20151210
3 -0.01842 -0.1121 -0.0574 -0.41332 1529.9096 45 20151210
3 -0.00418 -0.03849 -0.04242 0.02056 124.79268 65 20151210
3 -0.00325 0.05012 -0.01169 0.04911 104.81092 110 20151210
3 0 0 1 0 5301 124 20151210
3 0.02035 -0.1451 0.07488 -0.10475 901.0034 142 20151210
3 0.04375 -0.05222 -0.05064 -0.03641 333.92388 149 20151210
3 -0.00449 -0.04946 -0.04788 0.01972 140.13412 194 20151210
3 0.07756 -0.22623 -0.09926 -0.28999 1527.045 209 20151210
3 0 -1 0 0 4400 232 20151210
3 -0.00316 -0.01999 -0.01238 0.06982 188.70756 246 20151210
3 0.00634 0.07414 0.03305 -0.12268 488.17816 268 20151210
3 -0.00438 -0.06617 -0.05384 0.01366 169.01988 281 20151210
3 -0.00318 0.04717 -0.01145 0.04797 100.5874 322 20151210
3 -1 0 0 0 4500 475 20151210
3 0.12059 -0.1758 -0.09473 -0.21633 1331.69476 486 20151210
3 0.04408 -0.04969 -0.06742 -0.02159 288.39516 572 20151210
3 0.01239 0.07227 0.046 0.11662 264.01816 649 20151210
4 -0.00315 -0.01984 -0.01232 0.06996 188.72132 9 20151210
4 -0.01842 -0.1121 -0.05743 -0.41099 1576.79416 41 20151210
4 0.04375 -0.05222 -0.05041 -0.03643 313.95244 84 20151210
4 -0.00318 0.04717 -0.01135 0.0481 100.59316 87 20151210
4 -0.00403 -0.04242 -0.04238 0.01784 120.50924 111 20151210
4 -0.00438 -0.06617 -0.05395 0.01359 168.01004 115 20151210
4 0 0 1 0 5301 135 20151210
4 0 -1 0 0 4400 169 20151210
4 0.04408 -0.04969 -0.0672 -0.02162 269.423 175 20151210
4 -0.00325 0.05012 -0.0116 0.04925 104.815 176 20151210
4 0.11871 -0.17224 -0.07348 -0.21758 1352.98412 257 20151210
4 0.12059 -0.1758 -0.09479 -0.21636 1327.689 276 20151210
4 -0.00406 -0.04207 -0.04257 0.01819 121.5098 304 20151210
4 0.07756 -0.22623 -0.09928 -0.29002 1511.04404 327 20151210
4 0.08093 -0.19352 -0.07676 -0.27168 1449.55748 413 20151210
4 -0.00418 -0.03849 -0.04243 0.02054 124.79244 433 20151210
4 -0.00942 -0.03159 -0.06044 0.04943 210.8358 471 20151210
4 0.00634 0.07414 0.0331 -0.12313 466.20576 536 20151210
4 0.02035 -0.1451 0.07336 -0.10482 1009.82436 589 20151210
4 -0.00213 -0.00507 -0.01954 0.01774 70.66304 625 20151210
4 -1 0 0 0 4500 635 20151210
4 0.01239 0.07227 0.04598 0.11651 270.02104 666 20151210
5 0.00634 0.07414 0.03311 -0.12332 477.21608 38 20151210
5 -0.00213 -0.00507 -0.01955 0.01776 70.66088 73 20151210
5 0.04375 -0.05222 -0.05068 -0.03648 339.92244 125 20151210
5 -1 0 0 0 4500 157 20151210
5 -0.00406 -0.04207 -0.04262 0.01823 121.50188 191 20151210
5 0.08093 -0.19352 -0.07696 -0.2718 1416.53924 278 20151210
5 0.04408 -0.04969 -0.06742 -0.02164 295.39756 332 20151210
5 0 -1 0 0 4400 337 20151210
5 0.02035 -0.1451 0.07472 -0.10495 958.9938 338 20151210
5 0.00929 -0.08212 0.00414 -0.04417 412.80708 396 20151210
5 -0.00438 -0.06617 -0.05395 0.01364 168.00764 467 20151210
5 0.07756 -0.22623 -0.09952 -0.29043 1478.03492 519 20151210
5 0 0 1 0 5301 530 20151210
5 0.01239 0.07227 0.04606 0.11615 266.04792 556 20151210
5 0.12059 -0.1758 -0.09488 -0.21666 1284.6926 580 20151210
5 -0.04408 0.04969 0.06742 0.02164 568.60244 600 20151210
5 -0.00316 -0.01999 -0.0124 0.07023 189.68548 602 20151210
5 -0.00318 0.04717 -0.01145 0.04811 100.58068 604 20151210
5 -0.00403 -0.04242 -0.04243 0.01788 120.50132 617 20151210
5 -0.00325 0.05012 -0.01169 0.04925 104.8042 633 20151210
6 0.01239 0.07227 0.04611 0.11226 264.24064 25 20151210
6 0 -1 0 0 4400 85 20151210
6 -0.00397 -0.04229 -0.042 0.01534 115.67752 99 20151210
6 0.00634 0.07414 0.03312 -0.15165 588.57712 154 20151210
