"Id";"BE";"DE";"FR";"NL";"Period";"Date"
1;-4459.32;-1515.462;4001;1973.782;1;"19/07/2016"
1;-3773.533;-3231.411;4001;3003.944;1;"19/07/2016"
1;-3034.65;-1488.197;1236.511;3286.336;1;"19/07/2016"
1;-4500;-1113.277;4001;1612.277;1;"19/07/2016"
1;-2100.099;-4400;4001;2499.099;1;"19/07/2016"
1;-2987.633;-1438.691;1135.757;3290.568;1;"19/07/2016"
1;-4500;1015.184;4001;-516.1836;1;"19/07/2016"
1;-4500;1285.644;3531.075;-316.7191;1;"19/07/2016"
1;2198.244;-4400;4001;-1799.244;1;"19/07/2016"
1;2057.807;-4400;448.0416;1894.152;1;"19/07/2016"
1;-2252.405;4333.972;-1418.96;-662.6067;1;"19/07/2016"
1;-2899.084;-1442.403;1064.633;3276.854;1;"19/07/2016"
1;-1793.299;1255.301;4001;-3463.002;1;"19/07/2016"
1;1098.74;-1873.359;4001;-3226.382;1;"19/07/2016"
1;4184.786;-4400;1438.933;-1223.719;1;"19/07/2016"
1;1108.227;-3306.938;-78.07628;2276.788;1;"19/07/2016"
1;3290.625;-4400;491.3774;617.9978;1;"19/07/2016"
1;-692.1901;5417.421;-3060.965;-1664.265;1;"19/07/2016"
1;-327.1267;-366.6066;-1401.777;2095.51;1;"19/07/2016"
1;-214.9925;-1844.003;-737.5176;2796.514;1;"19/07/2016"
1;-623.8255;872.8255;4001;-4250;1;"19/07/2016"
1;2815.815;432.1278;492.5455;-3740.488;1;"19/07/2016"
1;474.5726;-538.946;4001;-3936.627;1;"19/07/2016"
1;4244.866;74.23646;-1149.658;-3169.445;1;"19/07/2016"
1;1110.013;-375.4679;-1399.484;664.938;1;"19/07/2016"
1;4206.163;2205.946;-2454.317;-3957.792;1;"19/07/2016"
1;-305.1854;5514.451;-3410.141;-1799.124;1;"19/07/2016"
1;-323.7096;-381.944;-1396.564;2102.218;1;"19/07/2016"
1;-322.86;-3.061359;-1528.305;1854.227;1;"19/07/2016"
1;142.6051;106.3949;4001;-4250;1;"19/07/2016"
1;3173.702;4181.255;-3104.957;-4250;1;"19/07/2016"
1;3174.439;676.6143;-107.1916;-3743.862;1;"19/07/2016"
1;670.0435;-56.19632;3472.276;-4086.123;1;"19/07/2016"
1;4207.138;2210.298;-2455.864;-3961.572;1;"19/07/2016"
