Folder;Files;Mode;Name;Unit;Stats
area;details;economy;be_gas_ccgt_new;MWh;EXP
area;details;economy;be_gas_ccgt_old_1;MWh;EXP
area;details;economy;be_gas_ccgt_old_2;MWh;EXP
area;details;economy;be_gas_conventional_old_2;MWh;EXP
area;details;economy;be_gas_ocgt_new;MWh;EXP
area;details;economy;be_gas_ocgt_old;MWh;EXP
area;details;economy;be_gas_small_cipu;MWh;EXP
area;details;economy;be_gas_small_non_cipu;MWh;EXP
area;details;economy;be_nuclear;MWh;EXP
area;details;economy;be_gas_ccgt_new;NP Cost - Euro;EXP
area;details;economy;be_gas_ccgt_old_1;NP Cost - Euro;EXP
area;details;economy;be_gas_ccgt_old_2;NP Cost - Euro;EXP
area;details;economy;be_gas_conventional_old_2;NP Cost - Euro;EXP
area;details;economy;be_gas_ocgt_new;NP Cost - Euro;EXP
area;details;economy;be_gas_ocgt_old;NP Cost - Euro;EXP
area;details;economy;be_gas_small_cipu;NP Cost - Euro;EXP
area;details;economy;be_gas_small_non_cipu;NP Cost - Euro;EXP
area;details;economy;be_nuclear;NP Cost - Euro;EXP
area;details;economy;be_gas_ccgt_new;NODU;EXP
area;details;economy;be_gas_ccgt_old_1;NODU;EXP
area;details;economy;be_gas_ccgt_old_2;NODU;EXP
area;details;economy;be_gas_conventional_old_2;NODU;EXP
area;details;economy;be_gas_ocgt_new;NODU;EXP
area;details;economy;be_gas_ocgt_old;NODU;EXP
area;details;economy;be_gas_small_cipu;NODU;EXP
area;details;economy;be_gas_small_non_cipu;NODU;EXP
area;details;economy;be_nuclear;NODU;EXP
area;values;economy;OV. COST;Euro;EXP
area;values;economy;OP. COST;Euro;EXP
area;values;economy;OP. COST;Euro;std
area;values;economy;OP. COST;Euro;min
area;values;economy;OP. COST;Euro;max
area;values;economy;MRG. PRICE;Euro;EXP
area;values;economy;MRG. PRICE;Euro;std
area;values;economy;MRG. PRICE;Euro;min
area;values;economy;MRG. PRICE;Euro;max
area;values;economy;CO2 EMIS.;Tons;EXP
area;values;economy;BALANCE;MWh;EXP
area;values;economy;BALANCE;MWh;std
area;values;economy;BALANCE;MWh;min
area;values;economy;BALANCE;MWh;max
area;values;economy;ROW BAL.;MWh;values
area;values;economy;PSP;MWh;EXP
area;values;economy;MISC. NDG;MWh;EXP
area;values;economy;LOAD;MWh;EXP
area;values;economy;LOAD;MWh;std
area;values;economy;LOAD;MWh;min
area;values;economy;LOAD;MWh;max
area;values;economy;H. ROR;MWh;EXP
area;values;economy;H. ROR;MWh;std
area;values;economy;H. ROR;MWh;min
area;values;economy;H. ROR;MWh;max
area;values;economy;WIND;MWh;EXP
area;values;economy;WIND;MWh;std
area;values;economy;WIND;MWh;min
area;values;economy;WIND;MWh;max
area;values;economy;SOLAR;MWh;EXP
area;values;economy;SOLAR;MWh;std
area;values;economy;SOLAR;MWh;min
area;values;economy;SOLAR;MWh;max
area;values;economy;NUCLEAR;MWh;EXP
area;values;economy;NUCLEAR;MWh;std
area;values;economy;NUCLEAR;MWh;min
area;values;economy;NUCLEAR;MWh;max
area;values;economy;LIGNITE;MWh;EXP
area;values;economy;LIGNITE;MWh;std
area;values;economy;LIGNITE;MWh;min
area;values;economy;LIGNITE;MWh;max
area;values;economy;COAL;MWh;EXP
area;values;economy;COAL;MWh;std
area;values;economy;COAL;MWh;min
area;values;economy;COAL;MWh;max
area;values;economy;GAS;MWh;EXP
area;values;economy;GAS;MWh;std
area;values;economy;GAS;MWh;min
area;values;economy;GAS;MWh;max
area;values;economy;OIL;MWh;EXP
area;values;economy;OIL;MWh;std
area;values;economy;OIL;MWh;min
area;values;economy;OIL;MWh;max
area;values;economy;MIX. FUEL;MWh;EXP
area;values;economy;MIX. FUEL;MWh;std
area;values;economy;MIX. FUEL;MWh;min
area;values;economy;MIX. FUEL;MWh;max
area;values;economy;MISC. DTG;MWh;EXP
area;values;economy;MISC. DTG;MWh;std
area;values;economy;MISC. DTG;MWh;min
area;values;economy;MISC. DTG;MWh;max
area;values;economy;H. STOR;MWh;EXP
area;values;economy;H. STOR;MWh;std
area;values;economy;H. STOR;MWh;min
area;values;economy;H. STOR;MWh;max
area;values;economy;UNSP. ENRG;MWh;EXP
area;values;economy;UNSP. ENRG;MWh;std
area;values;economy;UNSP. ENRG;MWh;min
area;values;economy;UNSP. ENRG;MWh;max
area;values;economy;SPIL. ENRG;MWh;EXP
area;values;economy;SPIL. ENRG;MWh;std
area;values;economy;SPIL. ENRG;MWh;min
area;values;economy;SPIL. ENRG;MWh;max
area;values;economy;LOLD;Hours;EXP
area;values;economy;LOLD;Hours;std
area;values;economy;LOLD;Hours;min
area;values;economy;LOLD;Hours;max
area;values;economy;LOLP;%;values
area;values;economy;AVL DTG;MWh;EXP
area;values;economy;AVL DTG;MWh;std
area;values;economy;AVL DTG;MWh;min
area;values;economy;AVL DTG;MWh;max
area;values;economy;DTG MRG;MWh;EXP
area;values;economy;DTG MRG;MWh;std
area;values;economy;DTG MRG;MWh;min
area;values;economy;DTG MRG;MWh;max
area;values;economy;MAX MRG;MWh;EXP
area;values;economy;MAX MRG;MWh;std
area;values;economy;MAX MRG;MWh;min
area;values;economy;MAX MRG;MWh;max
area;values;economy;NP COST;Euro;EXP
area;values;economy;NP COST;Euro;std
