area;mcYear;timeId;time;day;month;hour;BALANCE;UNSP. ENRG;LOLD;DTG MRG;ipn;strategicMargin
fr;2;1000;2017-08-11T15:00:00Z;11;AUG;15:00;12326;0;0;11111;1952;0
be;2;1000;2017-08-11T15:00:00Z;11;AUG;15:00;1894;0;0;1765;1952;0
de;2;1000;2017-08-11T15:00:00Z;11;AUG;15:00;8324;0;0;30821;901;0
nl;2;1000;2017-08-11T15:00:00Z;11;AUG;15:00;-3805;0;0;6317;-4805;0
fr;3;5323;2018-02-07T18:00:00Z;7;FEB;18:00;-12188;2227;1;0;-1956;0
be;3;5323;2018-02-07T18:00:00Z;7;FEB;18:00;-1439;-111;1;0;-789;111
de;3;5323;2018-02-07T18:00:00Z;7;FEB;18:00;-2178;0;0;12312;3426;3033
nl;3;5323;2018-02-07T18:00:00Z;7;FEB;18:00;205;336;1;0;-681;0
fr;10;4817;2018-01-17T16:00:00Z;17;JAN;16:00;-6629;1297;1;0;1471;0
fr;10;4826;2018-01-18T01:00:00Z;18;JAN;01:00;-8486;8;1;0;-6636;0
be;10;4817;2018-01-17T16:00:00Z;17;JAN;16:00;-3746;0;0;0;-3717;500
be;10;4826;2018-01-18T01:00:00Z;18;JAN;01:00;-1149;-499;1;0;-1113;499
de;10;4817;2018-01-17T16:00:00Z;17;JAN;16:00;4236;0;0;8993;2103;0
de;10;4826;2018-01-18T01:00:00Z;18;JAN;01:00;16763;0;0;12499;7000;7000
nl;10;4817;2018-01-17T16:00:00Z;17;JAN;16:00;-261;0;0;0;143;0
nl;10;4826;2018-01-18T01:00:00Z;18;JAN;01:00;1024;0;0;5081;749;0
fr;15;3283;2017-11-14T18:00:00Z;14;NOV;18:00;-4616;581;1;0;-3429;0
be;15;3283;2017-11-14T18:00:00Z;14;NOV;18:00;-712;-827;1;0;982;827
de;15;3283;2017-11-14T18:00:00Z;14;NOV;18:00;5521;0;0;12299;3968;3784
nl;15;3283;2017-11-14T18:00:00Z;14;NOV;18:00;-1054;258;1;0;-1521;0
fr;22;4002;2017-12-14T17:00:00Z;14;DEC;17:00;-8865;342;1;0;-2928;0
be;22;4002;2017-12-14T17:00:00Z;14;DEC;17:00;-2499;-330;1;0;-1639;330
de;22;4002;2017-12-14T17:00:00Z;14;DEC;17:00;2399;0;0;938;6176;6138
nl;22;4002;2017-12-14T17:00:00Z;14;DEC;17:00;-1704;197;1;0;-1609;0
fr;24;4593;2018-01-08T08:00:00Z;8;JAN;08:00;-12004;1789;1;0;-1378;0
fr;24;4698;2018-01-12T17:00:00Z;12;JAN;17:00;-13489;3271;1;0;-4344;0
be;24;4593;2018-01-08T08:00:00Z;8;JAN;08:00;-1038;350;1;0;-1849;0
be;24;4698;2018-01-12T17:00:00Z;12;JAN;17:00;-913;-626;1;0;816;626
de;24;4593;2018-01-08T08:00:00Z;8;JAN;08:00;2143;0;0;8259;2656;2532
de;24;4698;2018-01-12T17:00:00Z;12;JAN;17:00;2141;0;0;8142;4506;4246
nl;24;4593;2018-01-08T08:00:00Z;8;JAN;08:00;-429;0;0;0;571;0
nl;24;4698;2018-01-12T17:00:00Z;12;JAN;17:00;-1784;714;1;0;-978;0
fr;33;4674;2018-01-11T17:00:00Z;11;JAN;17:00;-11630;3680;1;0;-3930;0
be;33;4674;2018-01-11T17:00:00Z;11;JAN;17:00;-890;-649;1;0;149;649
de;33;4674;2018-01-11T17:00:00Z;11;JAN;17:00;-656;0;0;5315;3841;3812
nl;33;4674;2018-01-11T17:00:00Z;11;JAN;17:00;-1031;29;1;0;-60;0
