"mcYear";"timeId";"area";"time";"day";"month";"hour";"BALANCE";"UNSP. ENRG";"LOLD";"DTG MRG"
2;1000;"fr";"2017-08-11 15:00:00";11;"AUG";"15:00";12326;0;0;11111
2;1000;"be";"2017-08-11 15:00:00";11;"AUG";"15:00";1894;0;0;1765
2;1000;"de";"2017-08-11 15:00:00";11;"AUG";"15:00";8324;0;0;30821
2;1000;"nl";"2017-08-11 15:00:00";11;"AUG";"15:00";-3805;0;0;6317
3;5323;"fr";"2018-02-07 18:00:00";7;"FEB";"18:00";-12188;2227;1;0
3;5323;"be";"2018-02-07 18:00:00";7;"FEB";"18:00";-1439;389;1;0
3;5323;"de";"2018-02-07 18:00:00";7;"FEB";"18:00";-2178;0;0;12312
3;5323;"nl";"2018-02-07 18:00:00";7;"FEB";"18:00";205;336;1;0
10;4817;"fr";"2018-01-17 16:00:00";17;"JAN";"16:00";-6629;1297;1;0
10;4817;"be";"2018-01-17 16:00:00";17;"JAN";"16:00";-3746;0;0;0
10;4817;"de";"2018-01-17 16:00:00";17;"JAN";"16:00";4236;0;0;8993
10;4817;"nl";"2018-01-17 16:00:00";17;"JAN";"16:00";-261;0;0;0
10;4826;"fr";"2018-01-18 01:00:00";18;"JAN";"01:00";-8486;8;1;0
10;4826;"be";"2018-01-18 01:00:00";18;"JAN";"01:00";-1149;1;1;0
10;4826;"de";"2018-01-18 01:00:00";18;"JAN";"01:00";16763;0;0;12499
10;4826;"nl";"2018-01-18 01:00:00";18;"JAN";"01:00";1024;0;0;5081
15;3283;"fr";"2017-11-14 18:00:00";14;"NOV";"18:00";-4616;581;1;0
15;3283;"be";"2017-11-14 18:00:00";14;"NOV";"18:00";-712;0;0;0
15;3283;"de";"2017-11-14 18:00:00";14;"NOV";"18:00";5521;0;0;12299
15;3283;"nl";"2017-11-14 18:00:00";14;"NOV";"18:00";-1054;258;1;0
22;4002;"fr";"2017-12-14 17:00:00";14;"DEC";"17:00";-8865;342;1;0
22;4002;"be";"2017-12-14 17:00:00";14;"DEC";"17:00";-2499;170;1;0
22;4002;"de";"2017-12-14 17:00:00";14;"DEC";"17:00";2399;0;0;938
22;4002;"nl";"2017-12-14 17:00:00";14;"DEC";"17:00";-1704;197;1;0
24;4593;"fr";"2018-01-08 08:00:00";8;"JAN";"08:00";-12004;1789;1;0
24;4593;"be";"2018-01-08 08:00:00";8;"JAN";"08:00";-1038;850;1;0
24;4593;"de";"2018-01-08 08:00:00";8;"JAN";"08:00";2143;0;0;8259
24;4593;"nl";"2018-01-08 08:00:00";8;"JAN";"08:00";-429;0;0;0
24;4698;"fr";"2018-01-12 17:00:00";12;"JAN";"17:00";-13489;3271;1;0
24;4698;"be";"2018-01-12 17:00:00";12;"JAN";"17:00";-913;0;0;0
24;4698;"de";"2018-01-12 17:00:00";12;"JAN";"17:00";2141;0;0;8142
24;4698;"nl";"2018-01-12 17:00:00";12;"JAN";"17:00";-1784;714;1;0
33;4674;"fr";"2018-01-11 17:00:00";11;"JAN";"17:00";-11630;3680;1;0
33;4674;"be";"2018-01-11 17:00:00";11;"JAN";"17:00";-890;0;0;0
33;4674;"de";"2018-01-11 17:00:00";11;"JAN";"17:00";-656;0;0;5315
33;4674;"nl";"2018-01-11 17:00:00";11;"JAN";"17:00";-1031;29;1;0
45;3667;"fr";"2017-11-30 18:00:00";30;"NOV";"18:00";-6987;200;1;0
45;3667;"be";"2017-11-30 18:00:00";30;"NOV";"18:00";-2206;341;1;0
