mcYear;timeId;area;time;day;month;hour;BALANCE;UNSP. ENRG;LOLD;DTG MRG
2;1000;fr;11/08/2017 15:00;11;AUG;15:00;12326;0;0;11111
2;1000;be;11/08/2017 15:00;11;AUG;15:00;1894;0;0;1765
2;1000;de;11/08/2017 15:00;11;AUG;15:00;8324;0;0;30821
2;1000;nl;11/08/2017 15:00;11;AUG;15:00;-3805;0;0;6317
3;5323;fr;07/02/2018 18:00;7;FEB;18:00;-11856;2559;1;0
3;5323;be;07/02/2018 18:00;7;FEB;18:00;-1828;0;0;0
3;5323;de;07/02/2018 18:00;7;FEB;18:00;-1785;0;0;11919
3;5323;nl;07/02/2018 18:00;7;FEB;18:00;-131;0;0;0
10;4817;fr;17/01/2018 16:00;17;JAN;16:00;-6629;1297;1;0
10;4817;be;17/01/2018 16:00;17;JAN;16:00;-3746;0;0;0
10;4817;de;17/01/2018 16:00;17;JAN;16:00;4236;0;0;8993
10;4817;nl;17/01/2018 16:00;17;JAN;16:00;-261;0;0;0
10;4826;fr;18/01/2018 01:00;18;JAN;01:00;-8494;0;0;0
10;4826;be;18/01/2018 01:00;18;JAN;01:00;-1143;7;1;0
10;4826;de;18/01/2018 01:00;18;JAN;01:00;16763;0;0;12499
10;4826;nl;18/01/2018 01:00;18;JAN;01:00;1026;0;0;5079
15;3283;fr;14/11/2017 18:00;14;NOV;18:00;-5197;0;0;0
15;3283;be;14/11/2017 18:00;14;NOV;18:00;-57;655;1;0
15;3283;de;14/11/2017 18:00;14;NOV;18:00;5705;0;0;12115
15;3283;nl;14/11/2017 18:00;14;NOV;18:00;-1312;0;0;0
22;4002;fr;14/12/2017 17:00;14;DEC;17:00;-8828;379;1;0
22;4002;be;14/12/2017 17:00;14;DEC;17:00;-2669;0;0;0
22;4002;de;14/12/2017 17:00;14;DEC;17:00;2437;0;0;900
22;4002;nl;14/12/2017 17:00;14;DEC;17:00;-1609;292;1;0
24;4593;fr;08/01/2018 08:00;8;JAN;08:00;-11278;2515;1;0
24;4593;be;08/01/2018 08:00;8;JAN;08:00;-1888;0;0;0
24;4593;de;08/01/2018 08:00;8;JAN;08:00;2267;0;0;8135
24;4593;nl;08/01/2018 08:00;8;JAN;08:00;-429;0;0;0
24;4698;fr;12/01/2018 17:00;12;JAN;17:00;-14244;2516;1;0
24;4698;be;12/01/2018 17:00;12;JAN;17:00;-223;690;1;0
24;4698;de;12/01/2018 17:00;12;JAN;17:00;2401;0;0;7882
24;4698;nl;12/01/2018 17:00;12;JAN;17:00;-1979;519;1;0
33;4674;fr;11/01/2018 17:00;11;JAN;17:00;-11630;3680;1;0
33;4674;be;11/01/2018 17:00;11;JAN;17:00;-890;0;0;0
33;4674;de;11/01/2018 17:00;11;JAN;17:00;-627;0;0;5286
33;4674;nl;11/01/2018 17:00;11;JAN;17:00;-1060;0;0;0
45;3667;fr;30/11/2017 18:00;30;NOV;18:00;-7187;0;0;0
45;3667;be;30/11/2017 18:00;30;NOV;18:00;-1919;628;1;0
45;3667;de;30/11/2017 18:00;30;NOV;18:00;506;0;0;10748
45;3667;nl;30/11/2017 18:00;30;NOV;18:00;-1451;0;0;0
45;4604;fr;08/01/2018 19:00;8;JAN;19:00;-12106;0;0;0
45;4604;be;08/01/2018 19:00;8;JAN;19:00;819;1660;1;0
45;4604;de;08/01/2018 19:00;8;JAN;19:00;-1729;0;0;8553
45;4604;nl;08/01/2018 19:00;8;JAN;19:00;-1349;478;1;0
46;4651;fr;10/01/2018 18:00;10;JAN;18:00;-11691;5151;1;0
46;4651;be;10/01/2018 18:00;10;JAN;18:00;1263;3665;1;0
46;4651;de;10/01/2018 18:00;10;JAN;18:00;390;0;0;9175
46;4651;nl;10/01/2018 18:00;10;JAN;18:00;-2524;1605;1;0
50;3283;fr;14/11/2017 18:00;14;NOV;18:00;-6223;0;0;0
50;3283;be;14/11/2017 18:00;14;NOV;18:00;-3229;46;1;0
50;3283;de;14/11/2017 18:00;14;NOV;18:00;-1921;0;0;10674
50;3283;nl;14/11/2017 18:00;14;NOV;18:00;315;0;0;0
62;2084;fr;25/09/2017 19:00;25;SEP;19:00;10126;0;0;10616
62;2084;be;25/09/2017 19:00;25;SEP;19:00;-911;515;1;0
62;2084;de;25/09/2017 19:00;25;SEP;19:00;-6096;0;0;16146
62;2084;nl;25/09/2017 19:00;25;SEP;19:00;-5525;14;1;0
77;4498;fr;04/01/2018 09:00;4;JAN;09:00;-12019;2055;1;0
77;4498;be;04/01/2018 09:00;4;JAN;09:00;-551;0;0;0
77;4498;de;04/01/2018 09:00;4;JAN;09:00;4956;0;0;12860
77;4498;nl;04/01/2018 09:00;4;JAN;09:00;-2473;0;0;2080
81;3764;fr;04/12/2017 19:00;4;DEC;19:00;-11038;489;1;0
81;3764;be;04/12/2017 19:00;4;DEC;19:00;-1636;1038;1;0
81;3764;de;04/12/2017 19:00;4;DEC;19:00;2153;0;0;8893
81;3764;nl;04/12/2017 19:00;4;DEC;19:00;-339;0;0;0
94;4987;fr;24/01/2018 18:00;24;JAN;18:00;-12180;0;0;0
94;4987;be;24/01/2018 18:00;24;JAN;18:00;-2598;649;1;0
94;4987;de;24/01/2018 18:00;24;JAN;18:00;-2087;0;0;5860
94;4987;nl;24/01/2018 18:00;24;JAN;18:00;-191;498;1;0
102;5275;fr;05/02/2018 18:00;5;FEB;18:00;-13090;5644;1;0
102;5275;be;05/02/2018 18:00;5;FEB;18:00;-1899;61;1;0
102;5275;de;05/02/2018 18:00;5;FEB;18:00;3663;0;0;10361
102;5275;nl;05/02/2018 18:00;5;FEB;18:00;22;0;0;0
181;4699;fr;12/01/2018 18:00;12;JAN;18:00;-14523;850;1;0
181;4699;be;12/01/2018 18:00;12;JAN;18:00;1358;1984;1;0
181;4699;de;12/01/2018 18:00;12;JAN;18:00;4926;0;0;14855
181;4699;nl;12/01/2018 18:00;12;JAN;18:00;-2269;0;0;0
189;3834;fr;07/12/2017 17:00;7;DEC;17:00;-4865;0;0;0
189;3834;be;07/12/2017 17:00;7;DEC;17:00;-1402;0;0;0
189;3834;de;07/12/2017 17:00;7;DEC;17:00;-6044;563;1;7721
189;3834;nl;07/12/2017 17:00;7;DEC;17:00;-1000;133;1;0
224;4668;fr;11/01/2018 11:00;11;JAN;11:00;-12886;4411;1;0
224;4668;be;11/01/2018 11:00;11;JAN;11:00;-356;0;0;0
224;4668;de;11/01/2018 11:00;11;JAN;11:00;11043;0;0;7481
224;4668;nl;11/01/2018 11:00;11;JAN;11:00;-1000;3333;1;0
360;4646;fr;10/01/2018 13:00;10;JAN;13:00;-11789;0;0;0
360;4646;be;10/01/2018 13:00;10;JAN;13:00;-1831;0;0;0
360;4646;de;10/01/2018 13:00;10;JAN;13:00;6745;0;0;10190
360;4646;nl;10/01/2018 13:00;10;JAN;13:00;-522;2;1;0
381;4003;fr;14/12/2017 18:00;14;DEC;18:00;-7468;0;0;0
381;4003;be;14/12/2017 18:00;14;DEC;18:00;-1256;0;0;0
381;4003;de;14/12/2017 18:00;14;DEC;18:00;-334;0;0;6309
381;4003;nl;14/12/2017 18:00;14;DEC;18:00;-2237;2003;1;0
383;4193;fr;22/12/2017 16:00;22;DEC;16:00;5839;0;0;9036
383;4193;be;22/12/2017 16:00;22;DEC;16:00;132;0;0;0
383;4193;de;22/12/2017 16:00;22;DEC;16:00;779;0;0;13007
383;4193;nl;22/12/2017 16:00;22;DEC;16:00;-4544;1117;1;0
387;4987;fr;24/01/2018 18:00;24;JAN;18:00;-439;0;0;2266
387;4987;be;24/01/2018 18:00;24;JAN;18:00;-1339;0;0;0
387;4987;de;24/01/2018 18:00;24;JAN;18:00;-2709;0;0;10445
387;4987;nl;24/01/2018 18:00;24;JAN;18:00;-3240;1636;1;0
406;4458;fr;02/01/2018 17:00;2;JAN;17:00;-7939;0;0;0
406;4458;be;02/01/2018 17:00;2;JAN;17:00;197;0;0;0
406;4458;de;02/01/2018 17:00;2;JAN;17:00;-3359;0;0;13274
406;4458;nl;02/01/2018 17:00;2;JAN;17:00;-3513;1246;1;0
589;3930;fr;11/12/2017 17:00;11;DEC;17:00;-7896;276;1;0
589;3930;be;11/12/2017 17:00;11;DEC;17:00;-1029;1769;1;0
589;3930;de;11/12/2017 17:00;11;DEC;17:00;-5502;558;1;7481
589;3930;nl;11/12/2017 17:00;11;DEC;17:00;-1000;1310;1;0
600;4815;fr;17/01/2018 14:00;17;JAN;14:00;-9607;2545;1;0
600;4815;be;17/01/2018 14:00;17;JAN;14:00;-425;1035;1;0
600;4815;de;17/01/2018 14:00;17;JAN;14:00;6866;0;0;0
600;4815;nl;17/01/2018 14:00;17;JAN;14:00;-996;0;0;0
